
for student 730336623, for drug Insulin, for pharmacologic role; score: 22
for student 730336623, for drug Insulin, for drug target and primary localization; score: 40
for student 730336623, for drug Insulin, for target's role in normal physiology; score: 30
for student 730336623, for drug Insulin, for outcomes necessary for therapeutic activities; score: 50
for student 730009227, for drug Insulin, for pharmacologic role; score: 44
for student 730009227, for drug Insulin, for drug target and primary localization; score: 91
for student 730009227, for drug Insulin, for target's role in normal physiology; score: 97
for student 730009227, for drug Insulin, for outcomes necessary for therapeutic activities; score: 83
for student 711510047, for drug Insulin, for pharmacologic role; score: 26
for student 711510047, for drug Insulin, for drug target and primary localization; score: 7
for student 711510047, for drug Insulin, for target's role in normal physiology; score: 17
for student 711510047, for drug Insulin, for outcomes necessary for therapeutic activities; score: 12
for student 730301143, for drug Insulin, for pharmacologic role; score: 0
for student 730301143, for drug Insulin, for drug target and primary localization; score: 58
for student 730301143, for drug Insulin, for target's role in normal physiology; score: 56
for student 730301143, for drug Insulin, for outcomes necessary for therapeutic activities; score: 8
for student 730008206, for drug Insulin, for pharmacologic role; score: 9
for student 730008206, for drug Insulin, for drug target and primary localization; score: 85
for student 730008206, for drug Insulin, for target's role in normal physiology; score: 39
for student 730008206, for drug Insulin, for outcomes necessary for therapeutic activities; score: 33
for student 720431068, for drug Insulin, for pharmacologic role; score: 83
for student 720431068, for drug Insulin, for drug target and primary localization; score: 84
for student 720431068, for drug Insulin, for target's role in normal physiology; score: 33
for student 720431068, for drug Insulin, for outcomes necessary for therapeutic activities; score: 27
for student 730170143, for drug Insulin, for pharmacologic role; score: 49
for student 730170143, for drug Insulin, for drug target and primary localization; score: 99
for student 730170143, for drug Insulin, for target's role in normal physiology; score: 43
for student 730170143, for drug Insulin, for outcomes necessary for therapeutic activities; score: 67
for student 730337615, for drug Insulin, for pharmacologic role; score: 61
for student 730337615, for drug Insulin, for drug target and primary localization; score: 64
for student 730337615, for drug Insulin, for target's role in normal physiology; score: 60
for student 730337615, for drug Insulin, for outcomes necessary for therapeutic activities; score: 51
for student 730046634, for drug Insulin, for pharmacologic role; score: 34
for student 730046634, for drug Insulin, for drug target and primary localization; score: 28
for student 730046634, for drug Insulin, for target's role in normal physiology; score: 14
for student 730046634, for drug Insulin, for outcomes necessary for therapeutic activities; score: 22
for student 720516197, for drug Insulin, for pharmacologic role; score: 55
for student 720516197, for drug Insulin, for drug target and primary localization; score: 47
for student 720516197, for drug Insulin, for target's role in normal physiology; score: 95
for student 720516197, for drug Insulin, for outcomes necessary for therapeutic activities; score: 79
for student 730010565, for drug Insulin, for pharmacologic role; score: 31
for student 730010565, for drug Insulin, for drug target and primary localization; score: 98
for student 730010565, for drug Insulin, for target's role in normal physiology; score: 74
for student 730010565, for drug Insulin, for outcomes necessary for therapeutic activities; score: 59
for student 720391577, for drug Insulin, for pharmacologic role; score: 28
for student 720391577, for drug Insulin, for drug target and primary localization; score: 24
for student 720391577, for drug Insulin, for target's role in normal physiology; score: 18
for student 720391577, for drug Insulin, for outcomes necessary for therapeutic activities; score: 53
for student 730301183, for drug Insulin, for pharmacologic role; score: 99
for student 730301183, for drug Insulin, for drug target and primary localization; score: 63
for student 730301183, for drug Insulin, for target's role in normal physiology; score: 91
for student 730301183, for drug Insulin, for outcomes necessary for therapeutic activities; score: 75
for student 730306031, for drug Insulin, for pharmacologic role; score: 69
for student 730306031, for drug Insulin, for drug target and primary localization; score: 98
for student 730306031, for drug Insulin, for target's role in normal physiology; score: 48
for student 730306031, for drug Insulin, for outcomes necessary for therapeutic activities; score: 94
for student 730336866, for drug Insulin, for pharmacologic role; score: 82
for student 730336866, for drug Insulin, for drug target and primary localization; score: 8
for student 730336866, for drug Insulin, for target's role in normal physiology; score: 22
for student 730336866, for drug Insulin, for outcomes necessary for therapeutic activities; score: 65
for student 720511985, for drug Insulin, for pharmacologic role; score: 5
for student 720511985, for drug Insulin, for drug target and primary localization; score: 43
for student 720511985, for drug Insulin, for target's role in normal physiology; score: 29
for student 720511985, for drug Insulin, for outcomes necessary for therapeutic activities; score: 58
for student 720514156, for drug Insulin, for pharmacologic role; score: 95
for student 720514156, for drug Insulin, for drug target and primary localization; score: 0
for student 720514156, for drug Insulin, for target's role in normal physiology; score: 39
for student 720514156, for drug Insulin, for outcomes necessary for therapeutic activities; score: 29
for student 730339317, for drug Insulin, for pharmacologic role; score: 95
for student 730339317, for drug Insulin, for drug target and primary localization; score: 84
for student 730339317, for drug Insulin, for target's role in normal physiology; score: 51
for student 730339317, for drug Insulin, for outcomes necessary for therapeutic activities; score: 86
for student 730007672, for drug Insulin, for pharmacologic role; score: 79
for student 730007672, for drug Insulin, for drug target and primary localization; score: 80
for student 730007672, for drug Insulin, for target's role in normal physiology; score: 30
for student 730007672, for drug Insulin, for outcomes necessary for therapeutic activities; score: 39
for student 730010615, for drug Insulin, for pharmacologic role; score: 53
for student 730010615, for drug Insulin, for drug target and primary localization; score: 7
for student 730010615, for drug Insulin, for target's role in normal physiology; score: 81
for student 730010615, for drug Insulin, for outcomes necessary for therapeutic activities; score: 76
for student 730308943, for drug Insulin, for pharmacologic role; score: 19
for student 730308943, for drug Insulin, for drug target and primary localization; score: 5
for student 730308943, for drug Insulin, for target's role in normal physiology; score: 38
for student 730308943, for drug Insulin, for outcomes necessary for therapeutic activities; score: 20
for student 730305075, for drug Insulin, for pharmacologic role; score: 91
for student 730305075, for drug Insulin, for drug target and primary localization; score: 66
for student 730305075, for drug Insulin, for target's role in normal physiology; score: 69
for student 730305075, for drug Insulin, for outcomes necessary for therapeutic activities; score: 50
for student 730344007, for drug Insulin, for pharmacologic role; score: 27
for student 730344007, for drug Insulin, for drug target and primary localization; score: 38
for student 730344007, for drug Insulin, for target's role in normal physiology; score: 63
for student 730344007, for drug Insulin, for outcomes necessary for therapeutic activities; score: 38
for student 730300292, for drug Insulin, for pharmacologic role; score: 79
for student 730300292, for drug Insulin, for drug target and primary localization; score: 77
for student 730300292, for drug Insulin, for target's role in normal physiology; score: 75
for student 730300292, for drug Insulin, for outcomes necessary for therapeutic activities; score: 52
for student 730302081, for drug Insulin, for pharmacologic role; score: 39
for student 730302081, for drug Insulin, for drug target and primary localization; score: 83
for student 730302081, for drug Insulin, for target's role in normal physiology; score: 32
for student 730302081, for drug Insulin, for outcomes necessary for therapeutic activities; score: 15
for student 730336309, for drug Insulin, for pharmacologic role; score: 47
for student 730336309, for drug Insulin, for drug target and primary localization; score: 74
for student 730336309, for drug Insulin, for target's role in normal physiology; score: 78
for student 730336309, for drug Insulin, for outcomes necessary for therapeutic activities; score: 55
for student 730203946, for drug Insulin, for pharmacologic role; score: 30
for student 730203946, for drug Insulin, for drug target and primary localization; score: 80
for student 730203946, for drug Insulin, for target's role in normal physiology; score: 92
for student 730203946, for drug Insulin, for outcomes necessary for therapeutic activities; score: 46
for student 730092448, for drug Insulin, for pharmacologic role; score: 4
